Code,1stversion,2ndversion,3rdversion,4thversion,5thversion
BorA1,24,24,24,26.1,24
BorA2,40,43.75,43.75,42.11,25.81
ErA1,85.7,77.78,77.78,77.78,72.73
ErA2,50.59,50,50.06,51.25,47.47
ErC1,44.44,46.67,46.67,47.37,47.62
ErE5,81.82,86.22,86.22,85.54,86.21
ErzsC\_N,80.95,89.47,89.47,94.44,85
ErzsC\_S,53.61,51.06,51.06,51.06,53.29
ErzsD,58.18,67.39,67.39,70.45,43.24
FovamC\_D,75.76,83.91,81.82,83.72,81.11
FovamC\_N,29.85,31.58,31.58,33.96,29.41
FovC1,71.07,75.22,75.22,76.58,72.27
GoldA1,100,92.31,92.31,92.31,92.31
GoldA2,57.14,74.67,76.31,75.68,70.49
GoldB1,62.12,66.67,66.67,66.67,52.73
GoldB2,83.33,90.91,90.91,81.82,83.33
SasA1,68.6,69.77,70.8,69.37,71.73
SasadA1,42.66,38.72,47.67,50.98,51.21
