Code,1stversion,2ndversion,3rdversion,4thversion,5thversion
BorA1,32,32,32,34.78,32
BorA2,25,37.5,37.5,26.32,16.13
ErA1,8.33,11.11,11.11,11.11,0
ErA2,18.82,20.24,20.48,22.5,12.12
ErC1,26.98,28.33,28.33,31.58,23.81
ErE5,1.65,3.55,3.55,9,0.86
ErzsC\_N,4.76,5.26,5.26,5.55,5
ErzsC\_S,14.46,29.07,29.01,29.01,14.37
ErzsD,0,2.17,2.17,2.27,0
FovamC\_D,4.04,6.9,7.95,8.14,6.67
FovamC\_N,26.87,35.09,35.09,37.74,26.47
FovC1,7.44,8.85,8.85,9,7.56
GoldA1,0,0,0,0,0
GoldA2,5.71,16,13.16,16.22,1.64
GoldB1,7.58,10,10,10,7.27
GoldB2,0,0,0,9.09,0
SasA1,11.57,16.44,15.04,18.02,12.61
SasadA1,11.34,26.93,17.33,12.75,7.88
