Code,1stversion,2ndversion,3rdversion,4thversion,5thversion
BorA1,44,44,44,39.13,44
BorA2,18.75,18.75,18.75,31.58,58.06
ErA1,33.33,11.11,11.11,11.11,27.27
ErA2,30.59,29.76,28.91,26.25,40.4
ErC1,57.94,57.94,57.94,52.13,52.12
ErE5,10.22,10.22,10.22,11.01,12.17
ErzsC\_N,14.29,5.26,5.26,0,10
ErzsC\_S,31.93,19.86,19.86,19.86,32.34
ErzsD,41.81,30.43,30.43,27.27,56.76
FovamC\_D,20.2,9.2,10.23,8.14,12.22
FovamC\_N,43.28,33.33,33.33,28.3,44.12
FovC1,21.49,15.93,15.93,14.41,20.17
GoldA1,13.33,7.69,7.69,7.69,7.69
GoldA2,37.14,9.33,10.53,8.1,27.87
GoldB1,30.3,23.33,23.33,23.33,40
GoldB2,16.67,9.09,9.09,9.09,16.67
SasA1,19.83,13.78,14.16,12.61,15.65
SasadA1,45.98,34.34,35,36.27,40.91
