Code,1stversion,2ndversion,3rdversion,4thversion,5thversion
BorA1,42.86,42.86,42.86,42.86,42.85
BorA2,53.8,53.8,53.8,61.54,61.54
ErA1,87.5,87.5,87.5,87.5,100
ErA2,72.88,71.19,71.19,69.49,79.66
ErC1,84.44,84.44,84.44,84.44,84.44
ErE5,98.51,98.51,98.51,99,99.01
ErzsC\_N,94.44,94.44,94.44,94.44,94.44
ErzsC\_S,78.76,63.72,63.72,63.71,78.76
ErzsD,100,96.88,96.88,96.88,100
FovamC\_D,94.94,92.4,91.14,91.14,92.405
FovamC\_N,52.63,47.37,47.37,47.37,52.63
FovC1,90.53,89.47,89.47,89.47,90.53
GoldA1,100,100,100,100,100
GoldA2,90.91,82.35,85.29,82.35,97.72
GoldB1,89.13,86.96,86.96,86.96,87.88
GoldB2,100,100,100,90,100
SasA1,85.57,80.93,82.47,79.38,85.05
SasadA1,78.97,58.97,73.33,80,86.67
