Code,1stversion,2ndversion,3rdversion,4thversion,5thversion
BorA1,100,100,100,100,100
BorA2,87.5,85.7,85.7,87.5,100
ErA1,71.43,85.71,100,85.7,75
ErA2,55.81,57.14,80.95,58.53,61.7
ErC1,71.42,71.43,89.28,77.78,66.67
ErE5,88.38,90.21,90.21,90.15,88.5
ErzsC\_N,47.06,47.06,52.94,47.06,47.06
ErzsC\_S,82.02,83.33,90.27,90.27,83.15
ErzsD,93.75,93.55,100,93.55,93.75
FovamC\_D,81.33,78.08,90.23,79.17,78.08
FovamC\_N,55,38.89,38.89,38.89,35
FovC1,81.4,91.76,97.64,91.76,90.7
GoldA1,84.61,87.5,87.5,83.33,75
GoldA2,97.5,78.57,77.59,78.57,88.37
GoldB1,73.17,75,75,75,96.55
GoldB2,40,40,50,33.33,70
SasA1,95.18,90.45,91.88,90.26,89.7
SasadA1,75.32,88.69,90.2,82.05,81.07
